Date,Low,High,Close,Open,Volume,predicted_low,predicted_high,predicted_mean,signal1,signal2
2023-12-07,41660.0,43103.5,41961.0,43037.0,320030900.0,41835.133,44178.6225,42941.8735,1,0
2023-12-08,41600.0,42751.5,42277.5,41961.0,198336000.0,40404.947,42638.1115,41662.8875,0,0
2023-12-09,41164.5,42425.5,41350.0,42277.5,441670200.0,41116.595,42769.684,41858.03875,0,0
2023-12-10,40513.0,42765.0,42645.5,41350.0,524799600.0,40058.3615,42860.801,41561.7505,2,1
2023-12-11,41807.5,43485.5,42273.0,42645.5,353836500.0,41586.8685,44402.661,42856.018,0,2
2023-12-12,42194.0,44331.5,43699.5,42273.0,495978000.0,41141.383,42707.472,41830.84375,1,0
2023-12-13,43322.5,44282.0,43900.5,43699.5,380397100.0,42027.4065,44782.593,43457.89125,0,2
2023-12-14,43429.5,44484.5,44007.0,43900.5,288881100.0,41777.624,44804.019,43444.5825,0,2
2023-12-15,43315.0,44033.0,43735.5,44007.0,172172600.0,42710.88,45134.486,43449.77125,0,2
2023-12-16,42539.5,43987.5,43032.0,43735.5,254668300.0,41690.5715,45156.853,43265.66175,0,2
2023-12-17,42754.0,43849.0,43628.5,43032.0,264077800.0,41247.909,43560.8485,42545.3085,0,0
2023-12-18,41640.0,43640.5,42533.0,43628.5,466708600.0,41891.545,44835.4415,43278.0015,0,2
2023-12-19,42130.0,43728.0,43475.0,42533.0,357844100.0,41230.0675,43396.024,42423.21,0,0
2023-12-20,42307.5,43893.5,42610.0,43475.0,335883400.0,41852.802,43958.386,43212.36725,0,0
2023-12-21,41284.0,43177.5,42080.0,42610.0,431491600.0,41336.604,43526.515,42486.043,0,0
2023-12-22,41552.5,42639.5,42187.0,42080.0,245127800.0,40390.5265,42632.659,41592.35675,0,1
2023-12-23,41983.5,42905.0,42312.0,42187.0,197525500.0,40823.776,42662.717,41671.54125,0,1
2023-12-24,42213.0,44275.0,44257.5,42312.0,291996800.0,40976.0145,42711.7585,41755.73525,0,1
2023-12-25,44227.0,45965.5,44974.0,44257.5,753687200.0,42940.2945,44778.372,43500.97275,0,0
2023-12-26,40200.0,45545.0,42853.0,44974.0,970282800.0,44097.2755,46497.781,45428.2095,2,2
2023-12-27,42635.5,44824.0,44164.5,42853.0,504945800.0,41218.927,43562.317,42544.9655,1,0
2023-12-28,42333.5,44429.5,44167.5,44164.5,650428400.0,42809.9225,44976.7255,43551.30025,0,0
2023-12-29,43420.0,44226.0,43972.0,44167.5,200073800.0,42934.2615,44975.5955,43387.51975,0,0
2023-12-30,43572.0,44468.5,43926.5,43972.0,255682800.0,42871.1075,45055.311,43679.3445,0,0
2023-12-31,43164.0,47342.0,46986.5,43926.5,838402400.0,42159.91,45145.3905,43770.3465,0,0
2024-01-01,44564.0,47999.0,46106.0,46986.5,831909200.0,45866.4955,48074.2445,47076.44275,2,2
2024-01-02,44285.0,47696.5,46647.0,46106.0,1153736600.0,44684.8295,47040.3065,45794.35925,1,0
2024-01-03,45570.0,49049.5,46325.5,46647.0,991944200.0,45341.571,47320.3765,46267.96475,0,0
2024-01-04,41315.5,46507.5,42712.0,46325.5,688168600.0,45172.9165,47483.337,46150.42125,0,0
2024-01-05,42363.5,43245.0,42824.5,42712.0,261613100.0,41359.388,43847.906,42590.941,0,0
2024-01-06,41656.5,43045.5,41690.5,42824.5,277431400.0,41524.226,43697.32,42418.5025,0,0
2024-01-07,41667.5,43342.0,42467.5,41690.5,298009300.0,40196.095,42697.9605,41696.47425,2,1
2024-01-08,42000.0,43560.0,43108.5,42467.5,289170000.0,41055.59,43485.1185,42142.57575,1,1
2024-01-09,42140.5,43171.5,42726.5,43108.5,272844100.0,41873.413,43973.346,43001.956,0,0
2024-01-10,40594.0,42872.0,41256.0,42726.5,415825600.0,41491.2425,43644.755,42581.22725,0,0
2024-01-11,40232.0,42140.5,41606.0,41256.0,446859700.0,39907.6485,42584.9525,41391.9525,2,1
2024-01-12,41412.0,41844.5,41651.0,41606.0,112601000.0,39996.2295,42644.843,41342.96325,1,1
2024-01-13,41476.5,41846.0,41550.0,41651.0,112461900.0,40122.5865,42494.2055,41280.3435,0,1
2024-01-14,39327.5,41655.0,39502.5,41550.0,647393700.0,40144.797,42465.5985,41371.90275,0,0
2024-01-15,38498.0,40123.0,39864.0,39502.5,461603700.0,38958.3155,40808.485,39843.97825,2,0
2024-01-16,39452.5,40529.5,40056.0,39864.0,299006400.0,38404.754,40887.175,39805.636,1,1
2024-01-17,39509.5,40279.0,39919.0,40056.0,189820500.0,38442.3275,40942.627,39675.4675,0,1
2024-01-18,39794.0,42224.5,41795.0,39919.0,339110600.0,38495.4915,40763.8815,39570.6835,0,1
2024-01-19,41360.0,42186.0,42102.5,41795.0,114733500.0,40642.295,42314.929,41448.25675,0,0
2024-01-20,41600.5,42822.5,42015.0,42102.5,191502600.0,40693.968,42361.6445,41435.966,0,0
2024-01-21,41782.0,43300.0,43296.0,42015.0,228747300.0,40749.0445,42475.2085,41518.79925,0,0
2024-01-22,42637.5,43850.5,42916.5,43296.0,367396700.0,41994.57,44430.367,43439.17325,2,2
2024-01-23,42239.0,43752.0,42527.0,42916.5,382790900.0,41575.848,43916.177,42745.209,1,2
2024-01-24,41815.5,43260.0,43050.0,42527.0,303554100.0,41342.1145,43408.817,42505.1475,0,0
2024-01-25,42511.0,43443.0,43156.5,43050.0,238671400.0,41619.418,43537.9525,42752.078,0,0
2024-01-26,42848.5,43339.5,42975.5,43156.5,100060000.0,41857.6315,43890.871,43163.36275,2,2
2024-01-27,42113.0,43083.5,42540.5,42975.5,188915900.0,41540.558,43494.52,42618.944,1,0
2024-01-28,42217.5,43550.0,42652.0,42540.5,280650700.0,41401.1335,43509.728,42506.606,0,0
2024-01-29,42506.5,43370.5,43076.0,42652.0,204476400.0,41529.903,43722.284,42669.43225,2,1
2024-01-30,42746.0,44386.0,44325.0,43076.0,311060700.0,41799.7765,43636.218,42989.0605,1,0
2024-01-31,44325.5,45632.0,45292.5,44325.0,341653400.0,42915.147,45072.9355,43534.87225,0,0
2024-02-01,45241.0,48220.0,47154.0,45292.5,582195600.0,43984.745,46726.372,45401.4835,2,0
