Date,Low,High,Close,Open,Volume,predicted_low,predicted_high,predicted_mean,signal1,signal2
2024-01-03 14:00:00,2202.5,2229.75,2209.05,2229.2,18083.0,2221.426299999999,2240.597000000004,2231.920824999998,2,0
2024-01-03 15:00:00,2198.35,2213.25,2212.5,2209.05,6093.0,2192.5034999999966,2222.627749999996,2207.188525000001,1,0
2024-01-03 16:00:00,2209.05,2222.35,2213.95,2212.5,15912.0,2204.118049999991,2226.370199999995,2212.2885249999995,0,0
2024-01-03 17:00:00,2204.65,2216.85,2208.35,2213.95,4446.0,2206.6825999999965,2226.8839500000004,2214.6422749999947,2,0
2024-01-03 18:00:00,2207.9,2236.0,2234.8,2208.35,14641.0,2195.2032499999955,2221.493849999995,2208.9495250000014,0,0
2024-01-03 19:00:00,2228.65,2243.0,2234.25,2234.8,10536.0,2220.1062000000047,2250.253600000002,2237.855774999995,0,2
2024-01-03 20:00:00,2230.95,2243.05,2241.4,2234.25,11542.0,2218.3667500000042,2248.1082499999975,2235.4450249999986,0,2
2024-01-03 21:00:00,2236.45,2247.9,2240.5,2241.4,12326.0,2232.083450000002,2255.4716000000008,2244.0619249999954,0,2
2024-01-03 22:00:00,2239.0,2249.0,2242.55,2240.5,13576.0,2230.4501500000015,2255.105550000002,2242.221624999994,0,2
2024-01-03 23:00:00,2225.55,2246.15,2226.05,2242.55,28703.0,2236.3940499999994,2251.7938500000014,2244.973324999997,0,2
2024-01-04 00:00:00,2215.35,2230.6,2219.8,2226.05,17706.0,2212.1742999999888,2238.8289500000005,2226.193549999998,0,0
2024-01-04 01:00:00,2219.2,2233.65,2228.05,2219.8,10324.0,2205.584299999995,2228.298250000001,2217.145725000002,1,0
2024-01-04 02:00:00,2208.6,2229.8,2226.4,2228.05,22184.0,2218.206299999991,2234.4337000000087,2226.285574999995,0,0
2024-01-04 03:00:00,2219.6,2234.5,2231.75,2226.4,9477.0,2215.298399999995,2233.6805500000055,2225.8221249999992,0,0
2024-01-04 04:00:00,2226.9,2245.15,2240.0,2231.75,30088.0,2224.816150000007,2237.745550000004,2230.1907749999973,0,0
2024-01-04 05:00:00,2236.05,2251.3,2241.65,2240.0,10858.0,2231.0340000000037,2247.1934000000037,2236.986149999991,0,0
2024-01-04 06:00:00,2233.35,2277.0,2276.05,2241.65,80124.0,2231.72015,2252.2345000000014,2242.346674999993,2,0
2024-01-04 07:00:00,2265.45,2288.75,2281.2,2276.05,70666.0,2263.349449999998,2299.0388000000044,2279.3095,0,2
2024-01-04 08:00:00,2262.7,2284.65,2273.55,2281.2,24353.0,2270.4032000000047,2295.9605499999975,2282.000499999999,0,2
2024-01-04 09:00:00,2271.3,2293.35,2279.2,2273.55,44045.0,2258.7897499999926,2283.464550000005,2273.7682749999967,0,0
2024-01-04 10:00:00,2272.25,2283.55,2277.35,2279.2,20041.0,2270.2830000000035,2291.5265000000018,2279.2579000000005,0,0
2024-01-04 11:00:00,2275.25,2298.3,2278.65,2277.35,40618.0,2265.5983,2284.876850000003,2275.4307749999984,1,0
2024-01-04 12:00:00,2277.35,2298.95,2278.05,2278.65,39785.0,2270.1243999999992,2292.9718000000003,2278.3575249999985,0,0
2024-01-04 13:00:00,2273.75,2293.35,2277.4,2278.05,35196.0,2261.944349999995,2292.0145500000017,2276.7592499999996,0,0
2024-01-04 14:00:00,2266.6,2291.5,2274.65,2277.4,17873.0,2264.7387500000004,2289.8034500000035,2276.568024999995,0,0
2024-01-04 15:00:00,2270.95,2280.4,2271.05,2274.65,10894.0,2264.712300000005,2286.6327000000074,2273.9373749999913,0,0
